CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
7.5,1.0,1.0,1.0,65.0,4.4,No,No,61.0,79.0,NotPlaced
8.9,0.0,3.0,2.0,90.0,4.0,Yes,Yes,78.0,82.0,Placed
7.3,1.0,2.0,2.0,82.0,4.8,Yes,No,79.0,80.0,NotPlaced
7.5,1.0,1.0,2.0,85.0,4.4,Yes,Yes,81.0,80.0,Placed
8.3,1.0,2.0,2.0,86.0,4.5,Yes,Yes,74.0,88.0,Placed
7.0,0.0,2.0,2.0,71.0,4.2,Yes,No,55.0,66.0,NotPlaced
7.7,1.0,1.0,1.0,76.0,4.0,No,No,62.0,65.0,NotPlaced
7.7,2.0,1.0,0.0,85.0,3.5,Yes,Yes,59.0,72.0,NotPlaced
6.5,1.0,1.0,0.0,84.0,3.9,No,Yes,75.0,71.0,NotPlaced
7.8,1.0,3.0,2.0,79.0,4.4,Yes,Yes,85.0,86.0,Placed
8.3,2.0,3.0,2.0,90.0,4.8,Yes,Yes,82.0,88.0,Placed
7.9,1.0,3.0,2.0,90.0,4.8,Yes,Yes,71.0,87.0,Placed
8.3,2.0,3.0,2.0,90.0,4.5,Yes,Yes,84.0,83.0,Placed
7.7,1.0,1.0,1.0,74.0,4.6,No,Yes,63.0,73.0,NotPlaced
7.5,1.0,1.0,1.0,66.0,4.1,No,No,61.0,66.0,NotPlaced
7.4,0.0,2.0,1.0,78.0,4.4,No,No,63.0,66.0,NotPlaced
8.6,0.0,3.0,0.0,84.0,4.8,Yes,Yes,62.0,78.0,Placed
8.2,2.0,3.0,2.0,90.0,4.7,Yes,Yes,84.0,86.0,Placed
6.8,2.0,3.0,0.0,73.0,4.4,Yes,Yes,72.0,82.0,Placed
7.4,1.0,2.0,0.0,70.0,4.4,No,Yes,58.0,63.0,NotPlaced
7.6,2.0,1.0,0.0,84.0,4.4,No,Yes,77.0,75.0,Placed
7.4,1.0,2.0,1.0,72.0,3.5,No,Yes,82.0,69.0,Placed
7.7,0.0,1.0,0.0,77.0,3.4,No,Yes,55.0,72.0,Placed
7.4,1.0,1.0,0.0,60.0,3.8,No,No,55.0,71.0,NotPlaced
7.4,1.0,2.0,1.0,90.0,4.3,No,Yes,56.0,69.0,NotPlaced
6.7,1.0,1.0,1.0,70.0,4.0,No,No,68.0,57.0,NotPlaced
7.4,2.0,3.0,2.0,78.0,4.3,Yes,Yes,76.0,82.0,NotPlaced
8.3,1.0,1.0,1.0,81.0,4.5,Yes,Yes,64.0,65.0,NotPlaced
7.5,1.0,2.0,1.0,84.0,4.4,No,No,66.0,73.0,NotPlaced
7.0,0.0,1.0,1.0,63.0,3.9,No,Yes,60.0,61.0,NotPlaced
8.4,2.0,3.0,2.0,90.0,4.6,Yes,Yes,55.0,80.0,Placed
